State,avg_price
Alabama,23872.05882
Arizona,14709.09091
Arkansas,3771.666667
California,17836.71053
Colorado,12676.19048
Connecticut,14713.6
Florida,15075.63008
Georgia,16050.31373
Idaho,11500
Illinois,26715.70796
Indiana,21391.42857
Kansas,15500
Kentucky,44969.44444
Louisiana,16181.18182
Maryland,662.5
Massachusetts,17650.55556
Michigan,23899.82249
Minnesota,18207.35294
Mississippi,21148.33333
Missouri,16192.3913
Montana,2825
Nebraska,21350
Nevada,23653.52941
New Hampshire,16757.5
New Jersey,16209.71264
New Mexico,27375
New York,17850.7069
North Carolina,16485.27397
Ohio,17460.96774
Oklahoma,19839.08451
Ontario,30357.14286
Oregon,13109.25926
Pennsylvania,22810.2107
Rhode Island,17808
South Carolina,17270.70313
Tennessee,16259.57692
Texas,13607.29907
Utah,4875
Vermont,7498
Virginia,20041
Washington,26771.42857
West Virginia,15447.61905
Wisconsin,21103.19149
Wyoming,0
